amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,start-date,units,slug
44588.7,open-space-and-leisure,20181363-da,20181363REC,,2020-10-29,2019-03-19,,
2E+3,highways,20181388-da,20181388HW1,,2020-10-29,2019-07-01,,
5E+3,highways,20181388-da,20181388HW2,,2020-10-29,2019-07-01,,
314726.4,education,20181389-da,20181389ED1,,2020-10-29,2020-02-24,,
314726.4,education,20181389-da,20181389ED2,,2020-10-29,2020-02-24,,
419635.2,education,20181389-da,20181389ED3,,2020-10-29,2020-02-24,,
,affordable-housing,20181389-da,20181389AH1,,2020-10-29,2020-02-24,10,
,affordable-housing,20181389-da,20181389AH2,,2020-10-29,2020-02-24,10,
,affordable-housing,20181389-da,20181389AH3,,2020-10-29,2020-02-24,12,
113857.2,open-space-and-leisure,20181389-da,20181389REC,,2020-10-29,2020-02-24,,
,affordable-housing,20181541-da,20181541AH,,2020-10-29,2019-03-21,16,
,affordable-housing,20181581-da,20181581AH1,,2020-10-29,2019-07-24,6,
,affordable-housing,20181581-da,20181581AH2,,2020-10-29,2019-07-24,7,
154483.2,education,20181581-da,20181581ED1,,2020-10-29,2019-07-24,,
154483.2,education,20181581-da,20181581ED2,,2020-10-29,2019-07-24,,
205997.6,education,20181581-da,20181581ED3,,2020-10-29,2019-07-24,,
40876,open-space-and-leisure,20181581-da,20181581REC,,2020-10-29,2019-07-24,,
34023.2,open-space-and-leisure,20181581-da,20181581OS,,2020-10-29,2019-07-24,,
4.75E+4,open-space-and-leisure,20181581-da,20181581LE,,2020-10-29,2019-07-24,,
38203.2,affordable-housing,20181583-da,20181583AH1,,2020-10-29,2019-02-08,,
38203.2,affordable-housing,20181583-da,20181583AH2,,2020-10-29,2019-02-08,,
8155.2,,20181583-da,20181583REC,,2020-10-29,2019-02-08,,
5E+3,open-space-and-leisure,20181583-da,20181583LE,,2020-10-29,2019-02-08,,
,affordable-housing,20181716-da,20181716AH,,2020-10-29,2020-02-06,3,
100615.5,education,20181716-da,20181716ED1,,2020-10-29,2020-02-06,,
100615.5,education,20181716-da,20181716ED2,,2020-10-29,2020-02-06,,
134154,education,20181716-da,20181716ED3,,2020-10-29,2020-02-06,,
31711.5,open-space-and-leisure,20181716-da,20181716REC1,,2020-10-29,2020-02-06,,
31711.5,open-space-and-leisure,20181716-da,20181716REC2,,2020-10-29,2020-02-06,,
,affordable-housing,20181759-da,20181759AH,,2020-10-29,2019-08-14,25,
44595,education,20181759-da,20181759ED,,2020-10-29,2019-08-14,,
3.6E+4,open-space-and-leisure,20181759-da,20181759LEI,,2020-10-29,2019-08-14,,
33668,open-space-and-leisure,20181759-da,20181759REC,,2020-10-29,2019-08-14,,
21449.4,open-space-and-leisure,20181759-da,20181759OS,,2020-10-29,2019-08-14,,
416774.4,affordable-housing,20182186-da,20182186AH,,2020-10-29,2019-11-05,,
71305.2,education,20182186-da,20182186ED1,,2020-10-29,2019-11-05,,
71305.2,education,20182186-da,20182186ED2,,2020-10-29,2019-11-05,,
95073.6,education,20182186-da,20182186ED3,,2020-10-29,2019-11-05,,
45168.2,open-space-and-leisure,20182186-da,20182186OS1,,2020-10-29,2019-11-05,,
,open-space-and-leisure,20182186-da,20182186OS2,,2020-10-29,2019-11-05,1,
3.6E+4,open-space-and-leisure,20182186-da,20182186LE,,2020-10-29,2019-11-05,,
9170.2,open-space-and-leisure,20182266-da,20182266REC,,2020-10-29,2019-09-17,,
,affordable-housing,20182316-da,20182316AH,,2020-10-29,2019-01-25,1,
5142.6,open-space-and-leisure,20182316-da,20182316REC,,2020-10-29,2019-01-25,,
9E+3,open-space-and-leisure,20182316-da,20182316LE,,2020-10-29,2019-01-20,,
,affordable-housing,20182404-da,20182404AH1,,2020-10-29,2020-03-29,6,
,affordable-housing,20182404-da,20182404AH2,,2020-10-29,2020-03-29,5,
,affordable-housing,20182404-da,20182404AH3,,2020-10-29,2020-03-29,4,
132132,education,20182404-da,20182404ED1,,2020-10-29,2020-03-29,,
132132,education,20182404-da,20182404ED2,,2020-10-29,2020-03-29,,
176176,education,20182404-da,20182404ED3,,2020-10-29,2020-03-29,,
35173,open-space-and-leisure,20182404-da,20182404OS1,,2020-10-29,2020-03-29,,
,open-space-and-leisure,20182404-da,20182404OS2,,2020-10-29,2020-03-29,1,
40876,open-space-and-leisure,20182404-da,20182404REC,,2020-10-29,2020-03-29,,
4.75E+4,open-space-and-leisure,20182404-da,20182404LE,,2020-10-29,2020-03-29,,
,affordable-housing,20182481-da,20182481AH,,2020-10-29,2019-07-03,2,
3E+4,open-space-and-leisure,20182481-da,20182481REC1,,2020-10-29,2019-07-03,,
3.5E+4,open-space-and-leisure,20182481-da,20182481REC2,,2020-10-29,2019-07-03,,
,affordable-housing,20182525-da,20182525AH1,,2020-10-29,2019-11-01,2,
,affordable-housing,20182525-da,20182525AH2,,2020-10-29,2019-11-01,2,
,affordable-housing,20182525-da,20182525AH3,,2020-10-29,2019-11-01,2,
,affordable-housing,20182525-da,20182525AH4,,2020-10-29,2019-11-01,3,
348219,education,20182525-da,20182525ED,,2020-10-29,2019-11-01,,
75623.8,open-space-and-leisure,20182525-da,20182525OS1,,2020-10-29,2019-11-01,,
,open-space-and-leisure,20182525-da,20182525OS2,,2020-10-29,2019-11-01,1,
4.5E+4,open-space-and-leisure,20182525-da,20182525LE1,,2020-10-29,2019-11-01,,
4.5E+4,open-space-and-leisure,20182525-da,20182525LE2,,2020-10-29,2019-11-01,,
2E+3,highways,20182525-da,20182525HW,,2020-10-29,2019-11-01,,
58201,affordable-housing,20190783-da,20190783AH,,2020-10-29,2019-09-10,,
6292.6,open-space-and-leisure,20190783-da,2019783REC,,2020-10-29,2019-09-10,,
2.5E+5,highways,20191147-da,20191147HW,,2020-10-29,2019-10-09,,
,affordable-housing,20191280-da,20191280AH,,2020-10-29,2020-03-18,37,
11600.2,open-space-and-leisure,20191280-da,20191280REC,,2020-10-29,2020-03-18,,
46953.9,education,20191454-da,20191454ED1,,2020-10-29,2020-02-24,,
46953.9,education,20191454-da,20191454ED2,,2020-10-29,2020-02-24,,
62605.2,education,20191454-da,20191454ED3,,2020-10-29,2020-02-24,,
,affordable-housing,20191454-da,20191454AH,,2020-10-29,2020-02-24,2,
12807.5,open-space-and-leisure,20191454-da,20191454OP,,2020-10-29,2020-02-24,,
19721,open-space-and-leisure,20191454-da,20191454LE,,2020-10-29,2020-02-24,,
13967.8,open-space-and-leisure,20191454-da,20191454REC,,2020-10-29,2020-02-24,,
2E+3,flood-and-water-management,20191454-da,20191454DRA,,2020-10-29,2020-02-24,,
2E+3,highways,20191454-da,20191454TRO,,2020-10-29,2020-02-24,,
,affordable-housing,20191643-da,20191643AH1,,2020-10-29,2020-12-17,5,
,affordable-housing,20191643-da,20191643AH2,,2020-10-29,2020-12-17,5,
,affordable-housing,20191643-da,20191643AH3,,2020-10-29,2020-12-17,5,
,affordable-housing,20191643-da,20191643AH4,,2020-10-29,2020-12-17,5,
,affordable-housing,20191821-da,20191821AH,,2020-10-29,2020-03-18,12,
,open-space-and-leisure,20191821-da,20191821OP,,2020-10-29,2020-03-18,2,
,affordable-housing,20191729-da,20191729AH,,2020-10-29,2020-03-18,8,
