amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,start-date,units,slug
15464.38,open-space-and-leisure,36912/92-da,36912/92-dc1,,2020-03-31,1991-01-30,,
25275,open-space-and-leisure,64023/03-da,64023/03-dc1,,2020-03-31,2003-10-31,,
1.05E+3,open-space-and-leisure,75492/06-da,75492/06-dc1,,2020-03-31,2006-12-05,,
827.24,open-space-and-leisure,67373/04-da,67373/04-dc1,,2020-03-31,2005-01-26,,
885.21,open-space-and-leisure,68726/04-da,68726/04-dc1,,2020-03-31,2004-12-21,,
1.435E+4,open-space-and-leisure,77241/07-da,77241/07-dc1,,2020-03-31,2007-07-13,,
14834.71,open-space-and-leisure,70243/05-da,70243/05-dc3,,2020-03-31,2005-08-19,,
23571.01,open-space-and-leisure,49577/96-da,49577/96-dc2,,2020-03-31,1998-04-08,,
46552.85,open-space-and-leisure,65785/03-da,65785/03-dc1,,2020-03-31,2004-11-25,,
841.65,open-space-and-leisure,79867/08-da,79867/08-dc1,,2020-03-31,2008-05-30,,
60255.8,open-space-and-leisure,67335/04-da,67335/04-dc1,,2020-03-31,2005-06-17,,
14977.1,open-space-and-leisure,75848/06-da,75848/06-dc1,,2020-03-31,2007-01-08,,
1028.47,open-space-and-leisure,79414/08-da,79414/08-dc1,,2020-03-31,2009-04-06,,
74418.51,open-space-and-leisure,76656/07-da,76656/07-dc1,,2020-03-31,2007-09-18,,
6914.21,open-space-and-leisure,84637/10-da,84637/10-dc1,,2020-03-31,2011-01-06,,
6914.21,open-space-and-leisure,84637/10-da,84637/10-dc2,,2020-03-31,2011-01-06,,
2.5E+3,open-space-and-leisure,78526/07-da,78526/07-dc1,,2020-03-31,2007-12-31,,
32447.47,open-space-and-leisure,75033/06-da,75033/06-dc2,,2020-03-31,2007-04-20,,
5E+3,open-space-and-leisure,95486/15-da,95486/15-dc1,,2020-03-31,2016-02-29,,
24745,open-space-and-leisure,93831/15-da,93831/15-dc1,,2020-03-31,2015-09-18,,
1.93E+4,open-space-and-leisure,97826/16-da,97826/16-dc1,,2020-03-31,2017-03-13,,
9.4E+3,open-space-and-leisure,95151/15-da,95151/15-dc1,,2020-03-31,2016-06-15,,
4.95E+3,open-space-and-leisure,00940/17-da,00940/17-dc1,,2020-03-31,2017-09-25,,
4.95E+3,open-space-and-leisure,96178/16-da,96178/16-dc1,,2020-03-31,2016-09-15,,
38995.82,open-space-and-leisure,97199/16-da,97199/16-dc1,,2020-03-31,2017-01-12,,
4.85E+3,open-space-and-leisure,02435/17-da,02435/17-dc1,,2020-03-31,2018-06-11,,
13579.93,open-space-and-leisure,97377/16-da,97377/16-dc1,,2020-03-31,2017-07-05,,
9560.06,open-space-and-leisure,04044/18-da,04044/18-dc2,,2020-03-31,2018-11-01,,
85516.33,open-space-and-leisure,01595/17-da,01595/17-dc1,,2020-03-31,2017-11-29,,
5E+3,open-space-and-leisure,04748/18-da,04748/18-dc1,,2020-03-31,2019-03-29,,
14588.16,open-space-and-leisure,93610/15-da,93610/15-dc1,,2020-03-31,2014-11-26,,
23045.55,open-space-and-leisure,78010/07-da,78010/07-dc1,,2020-03-31,2010-09-22,,
3034.84,open-space-and-leisure,94158/15-da,94158/15-dc2,,2020-03-31,2015-11-05,,
3.415E+4,highways,55705/99-da,55705/99-dc1,,2020-03-31,2001-01-05,,
2.47E+3,highways,62817/02-da,62817/02-dc1,,2020-03-31,2003-04-15,,
9.4E+3,highways,57008/00-da,57008/00-dc1,,2020-03-31,2002-01-18,,
6.187E+4,highways,70243/05-da,70243/05-dc1,,2020-03-31,2005-08-19,,
1.5E+3,highways,69393/04-da,69393/04-dc1,,2020-03-31,2004-12-10,,
4.9E+4,highways,66201/03-da,66201/03-dc1,,2020-03-31,2003-12-29,,
41333.97,highways,70143/05-da,70143/05-dc1,,2020-03-31,2005-05-16,,
20606.84,highways,74472/06-da,74472/06-dc1,,2020-03-31,2006-12-06,,
2.92E+4,highways,69252/04-da,69252/04-dc1,,2020-03-31,2005-06-21,,
9994,highways,70897/05-da,70897/05-dc1,,2020-03-31,2006-02-03,,
3E+3,highways,69193/04-da,69193/04-dc1,,2020-03-31,2004-11-25,,
22138.6,highways,76893/07-da,76893/07-dc1,,2020-03-31,2007-07-12,,
46281.25,highways,77289/97-da,77289/97-dc1,,2020-03-31,2008-12-11,,
2.47E+3,highways,79100/07-da,79100/07-dc1,,2020-03-31,2008-02-27,,
42675,highways,72898/05-da,72898/05-dc1,,2020-03-31,2006-06-08,,
24946,highways,76656/07-da,76656/07-dc2,,2020-03-31,2007-09-18,,
53045.26,highways,92078/14-da,92078/14-dc1,,2020-03-31,2014-11-13,,
21913.6,highways,91959/14-da,91959/14-dc1,,2020-03-31,2014-08-13,,
2286.9,highways,91081/13-da,91081/13-dc1,,2020-03-31,2014-11-26,,
6.93E+3,highways,91081/13-da,91081/13-dc2,,2020-03-31,2014-11-26,,
2.425E+4,highways,86445/11-da,86445/11-dc1,,2020-03-31,2011-12-20,,
24638.44,highways,96670/16-da,96670/16-dc1,,2020-03-31,2015-06-08,,
4303.03,highways,97377/16-da,97377/16-dc2,,2020-03-31,2017-07-05,,
4480.27,highways,04044/18-da,04044/18-dc1,,2020-03-31,2018-11-01,,
25273.36,highways,03484/18-da,03484/18-dc1,,2020-03-31,2018-11-14,,
63654.18,highways,91081/13-da,91081/13-dc3,,2020-03-31,2014-11-26,,
17936.47,highways,78010/07-da,78010/07-dc2,,2020-03-31,2010-09-22,,
18051.37,highways,88121/12-da,88121/12-dc1,,2020-03-31,2010-12-31,,
20532.09,highways,75230/06-da,75230/06-dc1,,2020-03-31,2007-07-19,,
19304.01,affordable-housing,87062/11-da,87062/11-dc1,,2020-03-31,2012-05-14,,
23266.93,affordable-housing,93070/14-da,93070/14-dc1,,2020-03-31,2015-03-10,,
117382.27,affordable-housing,84637/10-da,84637/10-dc3,,2020-03-31,2011-01-06,,
349960.86,affordable-housing,74472/06-da,74472/06-dc2,,2020-03-31,2006-12-06,,
24823.75,affordable-housing,02335/17-da,02335/17-dc1,,2020-03-31,2018-03-15,,
40997.92,affordable-housing,94158/15-da,94158/15-dc1,,2020-03-31,2015-11-05,,
131676.91,affordable-housing,96218/16-da,96218/16-dc1,,2020-03-31,2015-12-16,,
812.88,affordable-housing,67274/04-da,67274/04-dc1,,2020-03-31,2004-06-04,,
314050.58,affordable-housing,72253/05-da,72253/05-dc1,,2020-03-31,2006-06-26,,
361381.1,transport-and-travel,90539/13-da,90539/13-dc1,,2020-03-31,2014-04-17,,
125102.9,education,97377/16-da,97377/16-dc3,,2020-03-31,2017-07-05,,
215549.48,education,94656/15-da,94656/15-dc1,,2020-03-31,2016-10-25,,
14830.24,education,96218/16-da,96218/16-dc2,,2020-03-31,2015-12-16,,
35489.21,education,93610/15-da,93610/15-dc2,,2020-03-31,2014-11-26,,
161874.36,education,96907/16-da,96907/16-dc1,,2020-03-31,2018-02-05,,
12397.1,health,02456/17-da,02456/17-dc1,,2020-03-31,2018-06-14,,
16041.32,health,91081/13-da,91081/13-dc4,,2020-03-31,2014-11-26,,
241.43,health,94158/15-da,94158/15-dc3,,2020-03-31,2015-11-05,,
76280.79,education,91081/13-da,91081/13-dc5,,2020-03-31,2014-11-26,,
1349.72,education,94158/15-da,94158/15-dc4,,2020-03-31,2015-11-05,,
16874.79,open-space-and-leisure,96218/16-da,96218/16-dc3,,2020-03-31,2015-12-16,,
