amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,start-date,units,slug
5E+2,other,19/00589/FUL-1,19/00589/FUL-1-2,,2020-12-23,2019-10-07,,
,affordable-housing,19/00602/FUL-1,19/00602/FUL-1-1,,2020-12-16,2020-05-30,,
768,other,19/00612/FUL-1,19/00612/FUL-1-1,,2020-12-23,2019-10-16,,
902,other,19/00616/FUL-1,19/00616/FUL-1-1,,2020-12-16,2019-11-20,,
,affordable-housing,19/00648/FUL-1,19/00648/FUL-1-1,,2020-12-16,2019-11-12,,
,affordable-housing,19/00678/FUL-1,19/00678/FUL-1-1,,2020-12-24,2020-01-14,,
653,other,19/00678/FUL-1,19/00678/FUL-1-2,,2020-12-24,2020-01-14,,
,affordable-housing,19/00680/FUL-1,19/00680/FUL-1-1,,2020-12-23,2019-09-20,,
768,other,19/00680/FUL-1,19/00680/FUL-1-2,,2020-12-23,2019-09-20,,
346,other,19/00683/FUL-1,19/00683/FUL-1-1,,2020-12-18,2019-11-20,,
,affordable-housing,19/00690/FUL-1,19/00690/FUL-1-1,,2020-12-16,2020-02-13,,
,affordable-housing,19/00708/FUL-1,19/00708/FUL-1-1,,2020-12-16,2019-11-20,,
653,other,19/00708/FUL-1,19/00708/FUL-1-2,,2020-12-16,2019-11-20,,
,affordable-housing,19/00729/HOU-1,19/00729/HOU-1-1,,2020-12-15,2019-10-15,,
768,other,19/00729/HOU-1,19/00729/HOU-1-2,,2020-12-15,2019-10-15,,
1028,other,19/00762/FUL-1,19/00762/FUL-1-1,,2020-12-17,2020-07-07,,
,affordable-housing,19/00773/FUL-1,19/00773/FUL-1-1,,2020-12-16,2019-12-31,,
1.5E+3,other,19/00773/FUL-1,19/00773/FUL-1-2,,2020-12-16,2019-12-31,,
,affordable-housing,19/00794/FUL-1,19/00794/FUL-1-1,,2020-12-18,2019-11-25,,
653,other,19/00794/FUL-1,19/00794/FUL-1-2,,2020-12-18,2019-11-25,,
5E+2,other,19/00811/FUL-1,19/00811/FUL-1-1,,2020-12-13,2019-10-03,,
5E+2,other,19/00867/FUL-1,19/00867/FUL-1-1,,2020-12-16,2020-02-24,,
346,other,19/00926/HOU-1,19/00926/HOU-1-1,,2020-12-16,2019-11-25,,
,affordable-housing,19/00934/FUL-1,19/00934/FUL-1-1,,2020-12-24,2020-01-30,,
5E+2,other,19/00963/FUL-1,19/00963/FUL-1-1,,2020-12-16,2019-12-10,,
,affordable-housing,19/01138/FUL-1,19/01138/FUL-1-1,,2020-12-16,2019-11-21,,
,affordable-housing,19/01139/FUL-1,19/01139/FUL-1-1,,2020-12-16,2019-12-05,,
768,other,19/01139/FUL-1,19/01139/FUL-1-2,,2020-12-16,2019-12-05,,
,affordable-housing,19/01142/FUL-1,19/01142/FUL-1-1,,2020-12-16,2019-12-10,,
653,other,19/01142/FUL-1,19/01142/FUL-1-2,,2020-12-16,2019-12-10,,
5.15E+3,transport-and-travel,19/01172/FUL-1,19/01172/FUL-1-1,,2020-12-23,2020-03-18,,
356,other,19/01210/HOU-1,19/01210/HOU-1-1,,2020-12-18,2020-05-24,,
,affordable-housing,19/01217/FUL-1,19/01217/FUL-1-1,,2020-12-17,2020-01-13,,
846,other,19/01217/FUL-1,19/01217/FUL-1-2,,2020-12-17,2020-01-13,,
2096,other,19/01255/FUL-1,19/01255/FUL-1-1,,2020-12-23,2020-04-20,,
356,other,19/01256/FUL-1,19/01256/FUL-1-1,,2020-12-17,2020-05-13,,
1804,other,19/01301/RVC-1,19/01301/RVC-1-1,,2020-12-22,2020-02-25,,
,affordable-housing,19/01333/FUL-1,19/01333/FUL-1-1,,2020-12-17,2020-01-16,,
653,other,19/01333/FUL-1,19/01333/FUL-1-2,,2020-12-17,2020-01-16,,
,affordable-housing,19/01374/OUT-1,19/01374/OUT-1-1,,2020-12-17,2020-01-14,,
1306,other,19/01374/OUT-1,19/01374/OUT-1-2,,2020-12-17,2020-01-14,,
,affordable-housing,19/01420/FUL-1,19/01420/FUL-1-1,,2020-12-17,2020-01-06,,
653,other,19/01420/FUL-1,19/01420/FUL-1-2,,2020-12-17,2020-01-06,,
,affordable-housing,19/01422/FUL-1,19/01422/FUL-1-1,,2020-12-22,2020-02-18,,
,affordable-housing,19/01429/FUL-1,19/01429/FUL-1-1,,2020-12-22,2020-01-22,,
5E+2,other,19/01429/FUL-1,19/01429/FUL-1-2,,2020-12-22,2020-01-22,,
,affordable-housing,19/01440/FUL-1,19/01440/FUL-1-1,,2020-12-22,2020-03-05,,
692,other,19/01440/FUL-1,19/01440/FUL-1-2,,2020-12-22,2020-03-05,,
346,other,19/01482/FUL-1,19/01482/FUL-1-1,,2020-12-23,2020-02-13,,
,affordable-housing,19/01485/FUL-1,19/01485/FUL-1-1,,2020-12-22,2020-02-21,,
653,other,19/01485/FUL-1,19/01485/FUL-1-2,,2020-12-22,2020-02-21,,
653,other,19/01486/HOU-1,19/01486/HOU-1-1,,2020-12-22,2020-01-15,,
,affordable-housing,19/01523/FUL-1,19/01523/FUL-1-1,,2020-12-23,2020-02-06,,
653,other,19/01523/FUL-1,19/01523/FUL-1-2,,2020-12-23,2020-02-06,,
,affordable-housing,19/01542/FUL-1,19/01542/FUL-1-1,,2020-12-22,2020-04-03,,
768,other,19/01542/FUL-1,19/01542/FUL-1-2,,2020-12-22,2020-04-03,,
,affordable-housing,19/01574/FUL-1,19/01574/FUL-1-1,,2020-12-23,2020-03-18,30,
176786,other,19/01574/FUL-1,19/01574/FUL-1-2,,2020-12-23,2020-03-18,,
8.6E+4,education,19/01574/FUL-1,19/01574/FUL-1-3,,2020-12-23,2020-03-18,,
2.15E+4,transport-and-travel,19/01574/FUL-1,19/01574/FUL-1-4,,2020-12-23,2020-03-18,,
8062.5,transport-and-travel,19/01574/FUL-1,19/01574/FUL-1-5,,2020-12-23,2020-03-18,,
,affordable-housing,19/01604/FUL-1,19/01604/FUL-1-1,,2020-12-22,2020-02-01,,
1346,other,19/01604/FUL-1,19/01604/FUL-1-2,,2020-12-22,2020-02-01,,
,affordable-housing,19/01635/FUL-1,19/01635/FUL-1-1,,2020-12-22,2020-02-13,,
,affordable-housing,19/01644/FUL-1,19/01644/FUL-1-1,,2020-12-23,2020-04-28,,
514,other,19/01644/FUL-1,19/01644/FUL-1-2,,2020-12-23,2020-04-28,,
,affordable-housing,19/01650/FUL-1,19/01650/FUL-1-1,,2020-12-23,2020-03-09,,
,affordable-housing,19/01665/FUL-1,19/01665/FUL-1-1,,2020-12-22,2020-01-22,,
4E+3,other,19/01665/FUL-1,19/01665/FUL-1-2,,2020-12-22,2020-01-22,,
,affordable-housing,20/00027/FUL-1,20/00027/FUL-1-1,,2020-12-22,2020-03-11,,
5E+2,other,20/00027/FUL-1,20/00027/FUL-1-2,,2020-12-22,2020-03-11,,
,affordable-housing,20/00054/RVC-1,20/00054/RVC-1-1,,2020-12-22,2020-03-05,,
653,other,20/00054/RVC-1,20/00054/RVC-1-2,,2020-12-22,2020-03-05,,
,affordable-housing,20/00059/FUL-1,20/00059/FUL-1-1,,2020-12-22,2020-04-16,,
653,other,20/00059/FUL-1,20/00059/FUL-1-2,,2020-12-22,2020-04-16,,
,affordable-housing,20/00160/FUL-1,20/00160/FUL-1-1,,2020-12-22,2020-03-05,,
5E+2,other,20/00160/FUL-1,20/00160/FUL-1-2,,2020-12-22,2020-03-05,,
,affordable-housing,20/00167/FUL-1,20/00167/FUL-1-1,,2020-12-22,2020-03-18,,
653,other,20/00167/FUL-1,20/00167/FUL-1-2,,2020-12-22,2020-03-18,,
514,other,20/00263/FUL-1,20/00263/FUL-1-1,,2020-12-23,2020-03-31,,
356,other,20/00301/HOU-1,20/00301/HOU-1-1,,2020-12-22,2020-04-24,,
,affordable-housing,20/00354/FUL-1,20/00354/FUL-1-1,,2020-12-24,2020-04-18,,
,affordable-housing,20/00428/FUL-1,20/00428/FUL-1-1,,2020-12-23,2020-07-03,,
1424,other,20/00428/FUL-1,20/00428/FUL-1-2,,2020-12-23,2020-07-03,,
,affordable-housing,20/00453/OUT-1,20/00453/OUT-1-1,,2020-12-24,2020-05-05,,
,other,20/00453/OUT-1,20/00453/OUT-1-2,,2020-12-24,2020-05-05,,
,affordable-housing,20/00461/FUL-1,20/00461/FUL-1-1,,2020-12-23,2020-04-03,,
1185,other,20/00461/FUL-1,20/00461/FUL-1-2,,2020-12-23,2020-04-03,,
,affordable-housing,20/01915/FUL-1,20/01915/FUL-1-1,,2021-02-04,2021-01-15,,
1028,other,20/01915/FUL-1,20/01915/FUL-1-2,,2021-02-04,2021-01-15,,
,affordable-housing,20/01927/OUT-1,20/01927/OUT-1-1,,2021-01-13,2021-01-06,,
,other,20/01927/OUT-1,20/01927/OUT-1-2,,2021-01-13,2021-01-06,,
,affordable-housing,20/02218/OUT-1,20/02218/OUT-1-1,,2021-01-26,2021-01-16,,
,other,20/02218/OUT-1,20/02218/OUT-1-2,,2021-01-26,2021-01-16,,
172,other,P/00044/18-1,P/00044/18-1-1,,2018-05-09,2018-05-09,,
,affordable-housing,P/00044/18-1,P/00044/18-1-2,,2020-12-24,2018-05-09,,
,affordable-housing,P/00046/19-1,P/00046/19-1-1,,2020-12-13,2019-12-18,,
692,other,P/00046/19-1,P/00046/19-1-2,,2020-12-13,2019-12-18,,
5E+3,transport-and-travel,P/00070/19-1,P/00070/19-1-1,,2020-12-22,2020-03-04,,
768,other,P/00107/19-1,P/00107/19-1-1,,2008-05-23,2008-05-23,,
653,other,P/00156/19-1,P/00156/19-1-1,,2019-05-01,2019-05-01,,
1E+3,transport-and-travel,P/00165/19-1,P/00165/19-1-1,,2019-07-03,2019-10-16,,
1153,other,P/00165/19-2,P/00165/19-2-1,,2020-12-23,2019-07-03,,
749,other,P/00173/19-1,P/00173/19-1-1,,2019-04-23,2019-04-23,,
5E+5,affordable-housing,P/00197/11-1,P/00197/11-1-1,,2020-12-30,2012-02-01,,
2E+4,transport-and-travel,P/00197/11-1,P/00197/11-1-2,,2020-12-30,2012-02-01,,
,affordable-housing,P/00197/11-1,P/00197/11-1-3,,2020-12-30,2012-02-01,,
,transport-and-travel,P/00197/11-1,P/00197/11-1-4,,2020-12-30,2012-02-01,,
,affordable-housing,P/00212/19-1,P/00212/19-1-1,,2020-12-10,2019-05-15,,
692,other,P/00213/19-1,P/00213/19-1-1,,2020-12-13,2019-06-23,,
653,other,P/00235/19-1,P/00235/19-1-1,,2019-06-05,2019-06-05,,
7452,transport-and-travel,P/00269/17-1,P/00269/17-1-1,,2020-12-11,2019-05-14,,
1.67E+3,other,P/00274/19-1,P/00274/19-1-1,,2020-12-15,2019-09-28,,
,other,P/00276/19-1,P/00276/19-1-1,,2020-12-14,2019-06-12,,
4148,other,P/00308/19-1,P/00308/19-1-1,,2019-05-28,2019-05-28,,
653,other,P/00320/19-1,P/00320/19-1-1,,2019-06-24,2019-06-24,,
5E+2,other,P/00321/19-1,P/00321/19-1-1,,2020-12-13,2019-06-14,,
653,other,P/00327/19-2,P/00327/19-2-1,,2020-12-11,2019-05-02,,
0,affordable-housing,P/00329/18-1,P/00329/18-1-1,,2019-04-09,2019-04-09,7,
10677,other,P/00329/18-1,P/00329/18-1-2,,2019-04-09,2019-04-09,,
1E+4,transport-and-travel,P/00329/18-1,P/00329/18-1-3,,2019-04-09,2019-04-09,,
653,other,P/00329/19-1,P/00329/19-1-1,,2020-12-11,2020-02-13,,
5E+2,other,P/00336/19-1,P/00336/19-1-1,,2019-06-07,2019-06-07,,
2922,other,P/00339/19-1,P/00339/19-1-1,,2020-12-11,2019-06-01,,
653,other,P/00343/19-1,P/00343/19-1-1,,2020-12-13,2019-12-27,,
5569,other,P/00344/19-1,P/00344/19-1-1,,2020-12-10,2019-05-09,,
1921,other,P/00347/19-1,P/00347/19-1-1,,2020-12-15,2019-10-02,,
,affordable-housing,P/00349/19-1,P/00349/19-1-1,,2020-12-13,2019-06-16,,
1E+3,other,P/00351/19-1,P/00351/19-1-1,,2019-06-04,2019-06-04,,
,affordable-housing,P/00354/18-1,P/00354/18-1-1,,2020-12-15,2019-09-25,,
7.53E+3,other,P/00354/18-1,P/00354/18-1-2,,2020-12-15,2019-09-25,,
1E+4,transport-and-travel,P/00354/18-1,P/00354/18-1-3,,2020-12-15,2019-09-25,,
,affordable-housing,P/00380/18-1,P/00380/18-1-1,,2020-12-23,2018-10-04,,
8.8E+2,other,P/00380/18-1,P/00380/18-1-2,,2020-12-23,2018-10-04,,
,affordable-housing,P/00402/18-1,P/00402/18-1-1,,2020-12-16,2019-10-14,,
,other,P/00402/18-1,P/00402/18-1-2,,2020-12-16,2019-10-14,,
688,other,P/00419/17-1,P/00419/17-1-1,,2017-05-16,2017-05-16,,
1181895,education,P/00563/06-1,P/00563/06-1-1,,2007-02-26,2007-02-26,,
8.5E+4,open-space-and-leisure,P/00563/06-1,P/00563/06-1-2,,2007-02-26,2007-02-26,,
1E+4,other,P/00563/06-1,P/00563/06-1-3,,2007-02-26,2007-02-26,,
2.5E+5,community-facilities,P/00563/06-1,P/00563/06-1-4,,2007-02-26,2007-02-26,,
1E+5,transport-and-travel,P/00563/06-1,P/00563/06-1-5,,2007-02-26,2007-02-26,,
3.5E+4,other,P/00563/06-1,P/00563/06-1-6,,2007-02-26,2007-02-26,,
35357.76,community-facilities,P/00633/17-2,P/00633/17-2-1,,2020-12-23,2019-11-04,,
749,other,P/00638/18-1,P/00638/18-1-1,,2018-08-07,2018-08-07,,
,affordable-housing,P/00638/18-1,P/00638/18-1-2,,2020-12-30,2018-08-07,,
,affordable-housing,P/00657/18-1,P/00657/18-1-1,,2020-12-22,2020-12-09,,
,other,P/00657/18-1,P/00657/18-1-2,,2020-12-22,2020-12-09,,
5394,other,P/00746/17-1,P/00746/17-1-1,,2020-12-15,2019-07-22,,
1E+4,transport-and-travel,P/00746/17-1,P/00746/17-1-2,,2020-12-15,2019-07-22,,
2548,other,P/00759/18-1,P/00759/18-1-1,,2018-09-03,2018-09-03,,
,affordable-housing,P/00759/18-1,P/00759/18-1-2,,2018-09-03,2018-09-03,,
902,other,P/00795/18-1,P/00795/18-1-1,,2019-04-29,2019-04-29,,
,affordable-housing,P/00798/17-1,P/00798/17-1-1,,2018-01-19,2018-01-19,,
1548,other,P/00798/17-1,P/00798/17-1-2,,2018-01-19,2018-01-19,,
1E+4,transport-and-travel,P/00798/17-1,P/00798/17-1-3,,2018-01-19,2018-01-19,,
,affordable-housing,P/00893/17-1,P/00893/17-1-1,,2017-09-29,2017-09-29,,
7.5E+5,transport-and-travel,P/00944/12-1,P/00944/12-1-1,,2014-12-22,2014-12-22,,
,transport-and-travel,P/00944/12-1,P/00944/12-1-2,,2014-12-22,2014-12-22,,
,other,P/00944/12-1,P/00944/12-1-3,,2014-12-22,2014-12-22,,
3409,other,P/00977/18-1,P/00977/18-1-1,,2020-12-24,2018-11-20,,
,affordable-housing,P/00981/18-1,P/00981/18-1-1,,2019-01-16,2019-01-16,,
6.93E+3,other,P/00981/18-1,P/00981/18-1-2,,2019-01-16,2019-01-16,,
,affordable-housing,P/01128/17-1,P/01128/17-1-1,,2020-12-15,2020-04-28,,
4191,other,P/01128/17-1,P/01128/17-1-2,,2020-12-15,2020-04-28,,
,affordable-housing,P/01141/15-1,P/01141/15-1-1,,2020-12-14,2019-05-29,,
3745,other,P/01141/15-1,P/01141/15-1-2,,2020-12-14,2019-05-29,,
8E+3,transport-and-travel,P/01141/15-1,P/01141/15-1-3,,2020-12-14,2019-05-29,,
1461,other,P/01187/18-1,P/01187/18-1-1,,2018-12-11,2018-12-11,,
,affordable-housing,P/01218/16-1,P/01218/16-1-3,,2020-12-15,2019-08-14,25,
,other,P/01218/16-1,P/01218/16-1-4,,2020-12-15,2019-08-14,,
13125,transport-and-travel,P/01218/16-1,P/01218/16-1-5,,2020-12-15,2019-08-14,,
1E+5,transport-and-travel,P/01218/16-1,P/01218/16-1-6,,2020-12-15,2019-08-14,,
1.36E+5,education,P/01218/16-1,P/01218/16-1-7,,2020-12-15,2019-08-14,,
1306,other,P/01338/18-1,P/01338/18-1-1,,2020-12-10,2019-04-23,,
2E+4,transport-and-travel,P/01361/18-1,P/01361/18-1-1,,2020-12-23,2020-02-05,,
,other,P/01361/18-1,P/01361/18-1-2,,2020-12-23,2020-02-05,,
,other,P/01361/18-1,P/01361/18-1-3,,2020-12-23,2020-02-05,,
2.5E+4,transport-and-travel,P/01361/18-1,P/01361/18-1-4,,2020-12-23,2020-02-05,,
1.7E+5,other,P/01373/09-1,P/01373/09-1-1,,2010-03-23,2010-03-23,,
1E+6,community-facilities,P/01373/09-1,P/01373/09-1-2,,2010-03-23,2010-03-23,,
238326,education,P/01373/09-1,P/01373/09-1-3,,2010-03-23,2010-03-23,,
2882491,transport-and-travel,P/01373/09-1,P/01373/09-1-4,,2010-03-23,2010-03-23,,
,affordable-housing,P/01373/09-1,P/01373/09-1-5,,2010-03-23,2010-03-23,,
427006,other,P/01373/09-1,P/01373/09-1-6,,2010-03-23,2010-03-23,,
,open-space-and-leisure,P/01373/09-1,P/01373/09-1-7,,2010-03-23,2010-03-23,,
,other,P/01373/09-1,P/01373/09-1-8,,2010-03-23,2010-03-23,,
2.25E+4,other,P/01373/09-1,P/01373/09-1-9,,2010-03-23,2010-03-23,,
2.25E+4,other,P/01373/09-1,P/01373/09-1-10,,2010-03-23,2010-03-23,,
,other,P/01373/09-1,P/01373/09-1-11,,2010-03-23,2010-03-23,,
172,other,P/01423/17-1,P/01423/17-1-1,,2018-01-17,2018-01-17,,
,affordable-housing,P/01423/17-1,P/01423/17-1-2,,2018-01-17,2018-01-17,,
5E+3,transport-and-travel,P/01450/18-1,P/01450/18-1-1,,2019-05-01,2019-05-01,,
