resource,amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,start-date,units,slug
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,35323,other,WB/11/0275/OUT-s106,WB/11/0275/OUT-ClerkOfWorks,,2020-10-27,2012-04-27,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,83538,open-space-and-leisure,AWDM/0055/13-s106,AWDM/0055/13-OpenSpace,,2020-10-27,2013-09-03,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,1.2E+4,transport-and-travel,AWDM/0680/15-s106,AWDM/0680/15-BusShelter,,2020-10-27,2015-09-14,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,2.5E+4,affordable-housing,AWDM/1542/16-s106,AWDM/1542/16-AffHousing,,2020-10-27,2017-04-20,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,7E+4,affordable-housing,AWDM/1075/17-s106,AWDM/1075/17-AffHousing,,2020-10-27,2017-12-12,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,2.79E+4,community-infrastructure-levy,AWDM/1409/17-CIL,AWDM/1409/17-TotalCIL,,2020-10-27,2019-02-07,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,,transport-and-travel,AWDM/1763/18-s106,AWDM/1763/18-CarClub,,2020-01-28,2019-05-01,1,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,,transport-and-travel,AWDM/1763/18-s106,AWDM/1763/18-TravelPlan,,2020-01-28,2019-05-01,1,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,3E+5,affordable-housing,AWDM/1480/18-s106,AWDM/1480/18-AffHousing,,2020-01-28,2019-05-23,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,2.97E+5,affordable-housing,AWDM/1480/18-s106,AWDM/1480/18-AffHousing2,,2020-01-28,2019-05-23,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,,affordable-housing,AWDM/1480/18-s106,AWDM/1480/18-AffHousingUnits,,2020-01-28,2019-05-23,5,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,,transport-and-travel,AWDM/1480/18-s106,AWDM/1480/18-CarClub,,2020-01-28,2019-05-23,1,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,,transport-and-travel,AWDM/1480/18-s106,AWDM/1480/18-EVChargingPoints,,2020-01-28,2019-05-23,21,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,,other,AWDM/1480/18-s106,AWDM/1480/18-ManagementCo,,2020-01-30,2019-05-23,1,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,,transport-and-travel,AWDM/1480/18-s106,AWDM/1480/18-TravelPlan,,2020-01-28,2019-05-23,1,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,8085,affordable-housing,AWDM/0303/19-s106,AWDM/0303/19-AffHousing,,2020-01-28,2019-06-20,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,1.13E+4,community-infrastructure-levy,AWDM/1176/17-CIL,AWDM/1176/17-TotalCIL,2019-09-04,2020-01-28,2019-07-18,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,25839.99,community-infrastructure-levy,AWDM/0038/18-CIL,AWDM/0038/18-TotalCIL,,2020-01-28,2019-08-13,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,11456.99,community-infrastructure-levy,AWDM/0418/16-CIL,AWDM/0418/16-TotalCIL,2019-09-10,2020-01-28,2019-08-13,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,17081.63,community-infrastructure-levy,AWDM/0556/18-CIL,AWDM/0556/18-TotalCIL,,2020-01-28,2019-08-28,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,12346.38,community-infrastructure-levy,AWDM/1176/17-CIL2,AWDM/1176/17-TotalCIL2,,2020-01-28,2019-09-04,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,1.095E+4,community-infrastructure-levy,AWDM/0418/16-CIL2,AWDM/0418/16-TotalCIL2,,2020-01-28,2019-09-10,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,14941.16,community-infrastructure-levy,AWDM/0827/15-CIL,AWDM/0827/15-TotalCIL,,2020-01-28,2019-09-11,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,7736,community-infrastructure-levy,AWDM/1107/15-CIL,AWDM/1107/15-TotalCIL,2019-11-07,2020-01-28,2019-09-16,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,8757.53,community-infrastructure-levy,AWDM/0456/16-CIL,AWDM/0456/16-TotalCIL,,2020-01-28,2019-09-20,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,7489.77,community-infrastructure-levy,AWDM/1909/16-CIL,AWDM/1909/16-TotalCIL,,2020-01-28,2019-09-20,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,5.5E+3,community-infrastructure-levy,AWDM/0870/17-CIL,AWDM/0870/17-TotalCIL,,2020-01-28,2019-09-20,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,1.088E+4,community-infrastructure-levy,AWDM/1174/16-CIL,AWDM/1174/16-TotalCIL,2019-10-09,2020-01-28,2019-09-20,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,9046.73,community-infrastructure-levy,AWDM/1520/17-CIL,AWDM/1520/17-TotalCIL,,2020-01-28,2019-09-26,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,2.45E+4,community-infrastructure-levy,AWDM/1834/17-CIL,AWDM/1834/17-TotalCIL,2019-10-02,2020-04-02,2019-09-26,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,56307.5,community-infrastructure-levy,AWDM/1042/18-CIL,AWDM/1042/18-TotalCIL,,2020-01-28,2019-09-26,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,13635,community-infrastructure-levy,AWDM/0676/18-CIL,AWDM/0676/18-TotalCIL,,2020-01-28,2019-10-08,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,1.088E+4,community-infrastructure-levy,AWDM/1174/16-CIL2,AWDM/1174/16-TotalCIL2,,2020-01-28,2019-10-09,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,7146.23,community-infrastructure-levy,AWDM/0307/16-CIL,AWDM/0307/16-TotalCIL,,2020-01-28,2019-10-07,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,25755,community-infrastructure-levy,AWDM/0025/18-CIL,AWDM/0025/18-TotalCIL,2020-03-30,2020-01-28,2019-10-14,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,5775.94,community-infrastructure-levy,AWDM/1542/18-CIL,AWDM/1542/18-TotalCIL,2019-11-20,2020-04-02,2019-10-18,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,,other,AWDM/0271/18-s106,AWDM/0271/18-NetProceedsOfSale,,2020-01-30,2019-10-21,1,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,,affordable-housing,AWDM/1882/16-s106,AWDM/1882/16-AffHousing,,2020-10-20,2019-12-18,72,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,3E+4,other,AWDM/1882/16-s106,AWDM/1882/16-AirQuality,,2020-10-20,2019-12-18,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,4E+3,open-space-and-leisure,AWDM/1882/16-s106,AWDM/1882/16-Inspection,,2020-10-20,2019-12-18,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,,open-space-and-leisure,AWDM/1882/16-s106,AWDM/1882/16-PlayArea,,2020-10-20,2019-12-18,1,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,,open-space-and-leisure,AWDM/1882/16-s106,AWDM/1882/16-OpenSpace,,2020-10-20,2019-12-18,1,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,33685.34,community-infrastructure-levy,AWDM/1504/19-CIL,AWDM/1504/19-TotalCIL,2020-03-30,2020-01-28,2019-12-20,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,21010.53,community-infrastructure-levy,AWDM/0945/18-CIL,AWDM/0945/18-TotalCIL,2020-02-12,2020-01-28,2020-01-17,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,15649.54,community-infrastructure-levy,AWDM/1351/19-CIL,AWDM/1351/19-TotalCIL,2020-02-20,2020-01-28,2020-01-17,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,249811.51,community-infrastructure-levy,AWDM/1529/18-CIL,AWDM/1529/18-TotalCIL,,2020-01-28,2020-01-21,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,754317.44,community-infrastructure-levy,AWDM/1633/16-CIL,AWDM/1633/16-TotalCIL,,2020-01-28,2020-01-27,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,21010.53,community-infrastructure-levy,AWDM/0945/18-CIL2,AWDM/0945/18-TotalCIL2,,2020-02-13,2020-02-12,,
01e0140a6d4dd19f9be9bf4b67a9e60c2f27c7f290032e1be7d3d2b4842b32c1,25755,community-infrastructure-levy,AWDM/0025/18-CIL2,AWDM/0025/18-TotalCIL2,,2020-07-10,2020-03-30,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,1E+4,green-infrastructure,384-18/72489/FUL-da,384-18/72489/FUL-da-pr,,2020-10-09,2019-04-08,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,16435,green-infrastructure,385-18/72094/FUL-da,385-18/72094/FUL-da-pr,,2020-10-09,2019-06-05,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,5.19E+4,open-space-and-leisure,385-18/72094/FUL-da,385-18/72094/FUL-da-os,,2020-10-09,2019-06-05,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,18165,education,385-18/72094/FUL-da,385-18/72094/FUL-da-ed,,2020-10-09,2019-06-05,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,3.5E+3,transport-and-travel,385-18/72094/FUL-da,385-18/72094/FUL-da-tt,,2020-10-09,2019-06-05,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,3.6E+4,green-infrastructure,386-18/72343/FUL-da,386-18/72343/FUL-da-pr,,2020-10-09,2019-06-12,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,3.64E+4,green-infrastructure,386-18/72343/FUL-da,386-18/72343/FUL-da-pr2,,2020-10-09,2019-06-12,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,6.7E+3,transport-and-travel,387-18/72242/FUL-da,387-18/72242/FUL-da-tt,,2020-10-09,2019-07-08,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,4.68E+5,green-infrastructure,387-18/72242/FUL-da,387-18/72242/FUL-da-pr,,2020-10-09,2019-07-08,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,1.23E+5,green-infrastructure,388-16/68464/FUL-da,388-16/68464/FUL-da-pr,,2020-10-09,2019-07-11,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,227969,open-space-and-leisure,388-16/68464/FUL-da,388-16/68464/FUL-da-os,,2020-10-09,2019-07-11,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,53195,open-space-and-leisure,389-18/71877/FUL-da,389-18/71877/FUL-da-os,,2020-10-09,2019-07-30,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,9.5E+4,open-space-and-leisure,390-18/71970/FUL-da,390-18/71970/FUL-da-os,,2020-10-09,2019-06-07,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,5E+4,green-infrastructure,391-18/72311/FUL-da,391-18/72311/FUL-da-pr,,2020-10-09,2019-09-26,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,1.2E+4,transport-and-travel,391-18/72311/FUL-da,391-18/72311/FUL-da-tt,,2020-10-09,2019-09-26,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,,green-infrastructure,392-18/72756/OUT-da,392-18/72756/OUT-da-pr,,2020-10-09,2019-10-18,1,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,,education,392-18/72756/OUT-da,392-18/72756/OUT-da-ed,,2020-10-09,2019-10-18,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,,affordable-housing,392-18/72756/OUT-da,392-18/72756/OUT-da-ah,,2020-10-09,2019-10-18,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,79375,transport-and-travel,392-18/72756/OUT-da,392-18/72756/OUT-da-tt,,2020-10-09,2019-10-18,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,3.9038E+6,green-infrastructure,392-18/72756/OUT-da,392-18/72756/OUT-da-pr,,2020-10-09,2019-10-18,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,1.143E+5,open-space-and-leisure,393-19/72944/FUL-da,393-19/72944/FUL-da-os,,2020-10-09,2019-10-28,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,6E+4,green-infrastructure,393-19/72944/FUL-da,393-19/72944/FUL-da-pr,,2020-10-09,2019-10-28,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,0,other,316A-15/66823/OUT-da,316A-15/66823/OUT-da-dv,,2020-10-09,2019-11-29,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,4.485E+4,open-space-and-leisure,394-17/70278/FUL-da,394-17/70278/FUL-da-os,,2020-10-09,2019-11-29,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,2.94E+5,green-infrastructure,394-17/70278/FUL-da,394-17/70278/FUL-da-pr,,2020-10-09,2019-11-29,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,23125,transport-and-travel,394-17/70278/FUL-da,394-17/70278/FUL-da-tt,,2020-10-09,2019-11-29,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,3.332E+5,transport-and-travel,394-17/70278/FUL-da,394-17/70278/FUL-da-tt2,,2020-10-09,2019-11-29,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,,green-infrastructure,394-17/70278/FUL-da,394-17/70278/FUL-da-pr2,,2020-10-09,2019-11-29,1,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,,affordable-housing,394-17/70278/FUL-da,394-17/70278/FUL-da-ah,,2020-10-09,2019-11-29,1,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,,green-infrastructure,395-17/72539/FUL-da,395-17/72539/FUL-da-pr,,2020-10-09,2019-12-05,1,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,3.7E+4,transport-and-travel,395-17/72539/FUL-da,395-17/72539/FUL-da-tt,,2020-10-09,2019-12-05,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,2.6E+5,green-infrastructure,395-17/72539/FUL-da,395-17/72539/FUL-da-pr2,,2020-10-09,2019-12-05,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,2.9718E+5,open-space-and-leisure,395-17/72539/FUL-da,395-17/72539/FUL-da-os,,2020-10-09,2019-12-05,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,2.328E+4,education,395-17/72539/FUL-da,395-17/72539/FUL-da-ed,,2020-10-09,2019-12-05,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,6.8E+5,green-infrastructure,396-19/73148/FUL-da,396-19/73148/FUL-da-pr,,2020-10-09,2019-12-06,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,7.815E+5,green-infrastructure,397-17/69345/FUL-da,397-17/69345/FUL-da-pr,,2020-10-09,2019-12-06,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,1.20096E+6,affordable-housing,397-17/69345/FUL-da,397-17/69345/FUL-da-ah,,2020-10-09,2019-12-06,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,9E+3,highways,398-18/72443/FUL-da,398-18/72443/FUL-da-hi,,2020-10-09,2019-12-06,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,2.16E+5,green-infrastructure,398-18/72443/FUL-da,398-18/72443/FUL-da-pr,,2020-10-09,2019-12-06,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,35132,open-space-and-leisure,399-18/72691/FUL-da,399-18/72691/FUL-da-os,,2020-10-09,2019-12-06,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,1.8E+4,green-infrastructure,399-18/72691/FUL-da,399-18/72691/FUL-da-pr,,2020-10-09,2019-12-06,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,7E+4,transport-and-travel,400-19/74069/OUT-da,400-19/74069/OUT-da-tt,,2020-10-09,2019-12-06,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,,green-infrastructure,400-19/74069/OUT-da,400-19/74069/OUT-da-pr,,2020-10-09,2019-12-06,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,,open-space-and-leisure,400-19/74069/OUT-da,400-19/74069/OUT-da-os,,2020-10-09,2019-12-06,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,0,other,401-16/67987/OUTEIA-da,401-16/67987/OUTEIA-da-dv,,2020-10-09,2019-12-19,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,,other,402-19/73971/FUL-da,402-19/73971/FUL-da-s111,2020-03-09,2020-10-09,2019-12-20,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,75984,open-space-and-leisure,403-19/73707/FUL-da,403-19/73707/FUL-da-os,,2020-10-09,2019-02-14,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,20750.4,education,403-19/73707/FUL-da,403-19/73707/FUL-da-ed,,2020-10-09,2019-02-14,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,,affordable-housing,404-19/73971/FUL-da,404-19/73971/FUL-da-ah,,2020-10-09,2020-03-09,42,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,581011,education,404-19/73971/FUL-da,404-19/73971/FUL-da-ed,,2020-10-09,2020-03-09,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,1.7057E+5,open-space-and-leisure,404-19/73971/FUL-da,404-19/73971/FUL-da-os,,2020-10-09,2020-03-09,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,1.5E+5,green-infrastructure,404-19/73971/FUL-da,404-19/73971/FUL-da-pr,,2020-10-09,2020-03-09,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,252921,open-space-and-leisure,404-19/73971/FUL-da,404-19/73971/FUL-da-os2,,2020-10-09,2020-03-09,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,1E+4,transport-and-travel,404-19/73971/FUL-da,404-19/73971/FUL-da-tt,,2020-10-09,2020-03-09,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,2E+5,highways,404-19/73971/FUL-da,404-19/73971/FUL-da-hi,,2020-10-09,2020-03-09,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,2.4E+5,highways,404-19/73971/FUL-da,404-19/73971/FUL-da-hi2,,2020-10-09,2020-03-09,,
03d1d1d57f17a930761ccc80fe3ac5b839d1c4b4bd0f3c46e4af535c7bcb30e0,7E+3,green-infrastructure,404-19/73971/FUL-da,404-19/73971/FUL-da-gi,,2020-10-09,2020-03-09,,
08711612fcde44985ba344127826cadf611dacf65716c3f6ca8b97b8cb8db07e,1084.55,community-infrastructure-levy,17/01853/FUL/CIL,17/01853/CILADMIN 1,,2019-09-18,2019-09-03,,
08711612fcde44985ba344127826cadf611dacf65716c3f6ca8b97b8cb8db07e,1084.55,community-infrastructure-levy,17/01853/FUL/CIL,17/01853/CILADMIN 2,,2019-09-18,2019-09-03,,
08711612fcde44985ba344127826cadf611dacf65716c3f6ca8b97b8cb8db07e,1084.55,community-infrastructure-levy,17/01853/FUL/CIL,17/01853/CILADMIN 3,,2019-09-18,2019-09-03,,
08711612fcde44985ba344127826cadf611dacf65716c3f6ca8b97b8cb8db07e,3253.67,neighbourhood-community-infrastructure-levy,17/01853/FUL/CIL,17/01853/NEIGHBOURHOOD 1,,2019-09-18,2019-09-03,,
08711612fcde44985ba344127826cadf611dacf65716c3f6ca8b97b8cb8db07e,3253.67,neighbourhood-community-infrastructure-levy,17/01853/FUL/CIL,17/01853/NEIGHBOURHOOD 2,,2019-09-18,2019-09-03,,
